SECTION 1: MARKET PRICES
Run,Mean (EUR/MWH),Wtd Avg (EUR/MWH),% Hours = 0,% Hours < 0,% Hours > 100,Max (EUR/MWH),Std Dev,N Hours
no_support_low_co2,62,PV,MPVAR,286.67,24.6894,0.0861,261.9806,1125651.0
no_support_low_co2,63,PV,MPVAR,340.07,24.6894,0.0726,315.3806,737946.0
no_support_low_co2,64,PV,MPVAR,440.05,24.6894,0.0561,415.3606,180348.0
no_support_low_co2,70,WindOn,MPVAR,70.58,24.6894,0.3498,45.8906,7110198.0
no_support_low_co2,71,WindOn,MPVAR,79.65,24.6894,0.31,54.9606,10596930.0
no_support_low_co2,72,WindOn,MPVAR,87.24,24.6894,0.283,62.5506,26116305.0
no_support_low_co2,73,WindOn,MPVAR,94.17,24.6894,0.2622,69.4806,27106707.0
no_support_low_co2,74,WindOn,MPVAR,100.26,24.6894,0.2463,75.5706,23671713.0
no_support_low_co2,80,WindOff,MPVAR,154.0,24.6894,0.1603,129.3106,2167591.0
no_support_low_co2,81,WindOff,MPVAR,174.5,24.6894,0.1415,149.8106,254442.0
no_support_low_co2,82,WindOff,MPVAR,184.0,24.6894,0.1342,159.3106,6789422.0
no_support_low_co2,83,WindOff,MPVAR,194.0,24.6894,0.1273,169.3106,14957342.0
no_support_high_co2,10,PV,FIT,120.0,64.341,0.5362,55.659,28620165.0
no_support_high_co2,20,WindOn,FIT,85.0,64.341,0.757,20.659,4405513.0
no_support_high_co2,50,RunOfRiver,FIT,100.0,64.341,0.6434,35.659,15923598.0
no_support_high_co2,60,PV,MPVAR,97.21,64.341,0.6619,32.869,7415212.0
no_support_high_co2,61,PV,MPVAR,202.91,64.341,0.3171,138.569,3938231.0
no_support_high_co2,62,PV,MPVAR,286.67,64.341,0.2244,222.329,1137281.0
no_support_high_co2,63,PV,MPVAR,340.07,64.341,0.1892,275.729,745570.0
no_support_high_co2,64,PV,MPVAR,440.05,64.341,0.1462,375.709,182211.0
no_support_high_co2,70,WindOn,MPVAR,70.58,64.341,0.9116,6.239,7198228.0
no_support_high_co2,71,WindOn,MPVAR,79.65,64.341,0.8078,15.309,10728129.0
no_support_high_co2,72,WindOn,MPVAR,87.24,64.341,0.7375,22.899,26439646.0
no_support_high_co2,73,WindOn,MPVAR,94.17,64.341,0.6832,29.829,27442310.0
no_support_high_co2,74,WindOn,MPVAR,100.26,64.341,0.6417,35.919,23964788.0
no_support_high_co2,80,WindOff,MPVAR,154.0,64.341,0.4178,89.659,2186800.0
no_support_high_co2,81,WindOff,MPVAR,174.5,64.341,0.3687,110.159,256697.0
no_support_high_co2,82,WindOff,MPVAR,184.0,64.341,0.3497,119.659,6849589.0
no_support_high_co2,83,WindOff,MPVAR,194.0,64.341,0.3317,129.659,15089892.0
mpvar_reduced,10,PV,FIT,120.0,38.8112,0.3234,81.1888,28620165.0
mpvar_reduced,20,WindOn,FIT,85.0,38.8112,0.4566,46.1888,4405513.0
mpvar_reduced,50,RunOfRiver,FIT,100.0,38.8112,0.3881,61.1888,15923598.0
mpvar_reduced,60,PV,MPVAR,97.21,38.8112,0.3993,58.3988,7415932.0
mpvar_reduced,61,PV,MPVAR,202.91,38.8112,0.1913,164.0988,3938613.0
mpvar_reduced,62,PV,MPVAR,286.67,38.8112,0.1354,247.8588,1137391.0
mpvar_reduced,63,PV,MPVAR,340.07,38.8112,0.1141,301.2588,745643.0
mpvar_reduced,64,PV,MPVAR,440.05,38.8112,0.0882,401.2388,182229.0
mpvar_reduced,70,WindOn,MPVAR,70.58,38.8112,0.5499,31.7688,7193449.0
mpvar_reduced,71,WindOn,MPVAR,79.65,38.8112,0.4873,40.8388,10721006.0
mpvar_reduced,72,WindOn,MPVAR,87.24,38.8112,0.4449,48.4288,26422091.0
mpvar_reduced,73,WindOn,MPVAR,94.17,38.8112,0.4121,55.3588,27424090.0
mpvar_reduced,74,WindOn,MPVAR,100.26,38.8112,0.3871,61.4488,23948876.0
mpvar_reduced,80,WindOff,MPVAR,154.0,38.8112,0.252,115.1888,2186297.0
mpvar_reduced,81,WindOff,MPVAR,174.5,38.8112,0.2224,135.6888,256638.0
mpvar_reduced,82,WindOff,MPVAR,184.0,38.8112,0.2109,145.1888,6848016.0
mpvar_reduced,83,WindOff,MPVAR,194.0,38.8112,0.2001,155.1888,15086426.0
